광역시도,기초지자체,아프리카 국가,아프리카 지자체,교류연도,교류유형,주요내용
부산광역시,본청,탄자니아,,2022,행정 인적교류,부산시  중남미 아프리카 주한공관장 초청 부산 팸투어
부산광역시,본청,알제리,,2022,행정 인적교류,부산시  중남미 아프리카 주한공관장 초청 부산 팸투어
부산광역시,본청,리비아,,2022,행정 인적교류,부산시  중남미 아프리카 주한공관장 초청 부산 팸투어
부산광역시,본청,수단,,2022,행정 인적교류,부산시  중남미 아프리카 주한공관장 초청 부산 팸투어
부산광역시,본청,모로코,,2022,행정 인적교류,부산시  중남미 아프리카 주한공관장 초청 부산 팸투어
부산광역시,본청,튀니지,,2022,행정 인적교류,부산시  한국_튀니지_아프리카 비즈니스 밤 참석 2030부산세계박람회 유치 홍보
부산광역시,본청,튀니지,,2022,경제통상교류,부산시  지역 중소기업의 아프리카 시장 판로개척 지원에 나서
부산광역시,본청,탄자니아,,2022,행정 인적교류,박형준 부산시장  리베라타 물라물라 탄자니아 외교장관 접견  2030부산세계박람회 지지 당부
부산광역시,본청,AU(아프리카연합),,2022,행정 인적교류,부산시  제5차 한_아프리카 포럼 참석자 초청
부산광역시,본청,탄자니아,,2019,기술 학술 정보교류,부산시  해양수산정책 글로벌 연수 실시
부산광역시,본청,이집트,,2019,기술 학술 정보교류,부산시  해양수산정책 글로벌 연수 실시
부산광역시,본청,튀니지,,2019,기술 학술 정보교류,부산시  해양수산정책 글로벌 연수 실시
부산광역시,본청,모리타니,,2019,기술 학술 정보교류,부산시  해양수산정책 글로벌 연수 실시
부산광역시,본청,카메룬,,2019,기술 학술 정보교류,부산시  해양수산정책 글로벌 연수 실시
부산광역시,본청,코트디부아르,아비장시,2019,협약체결,부산시_코트디부아르 아비장시 교류협력 합의서 서명
부산광역시,본청,시에라리온,,2019,관광교류,부산시  2019 주한외교단 초청 부산 팸투어 개최
부산광역시,본청,이집트,,2019,관광교류,부산시  2019 주한외교단 초청 부산 팸투어 개최
부산광역시,본청,잠비아,,2019,관광교류,부산시  2019 주한외교단 초청 부산 팸투어 개최
부산광역시,본청,가나,,2019,관광교류,부산시  2019 주한외교단 초청 부산 팸투어 개최
부산광역시,본청,튀니지,,2019,관광교류,부산시  2019 주한외교단 초청 부산 팸투어 개최
부산광역시,본청,코트디부아르,,2019,관광교류,부산시  2019 주한외교단 초청 부산 팸투어 개최
부산광역시,본청,남아프리카공화국,,2019,관광교류,부산시  2019 주한외교단 초청 부산 팸투어 개최
부산광역시,본청,케냐,,2019,관광교류,부산시  2019 주한외교단 초청 부산 팸투어 개최
부산광역시,본청,나이지리아,,2019,관광교류,부산시  2019 주한외교단 초청 부산 팸투어 개최
부산광역시,본청,르완다,,2019,관광교류,부산시  2019 주한외교단 초청 부산 팸투어 개최
부산광역시,본청,알제리,,2019,관광교류,부산시  2019 주한외교단 초청 부산 팸투어 개최
부산광역시,본청,탄자니아,,2019,관광교류,부산시  2019 주한외교단 초청 부산 팸투어 개최
부산광역시,본청,앙골라,,2019,관광교류,부산시  2019 주한외교단 초청 부산 팸투어 개최
부산광역시,본청,코트디부아르,,2019,행정 인적교류,부산시 경제부시장  AfDB 총재 방한 계기 경제협력 분야 논의
부산광역시,본청,코트디부아르,,2019,기술 학술 정보교류,부산시  2019 드론쇼코리아에 AfDB 초청 세미나 진행
부산광역시,본청,이집트,,2018,기술 학술 정보교류,부산시  2018년도 이집트 지하철 운영 역량강화 연수 개최
부산광역시,본청,튀니지,,2018,경제통상교류,부산시  튀니지에 부산형 드론 활용시스템 수출
부산광역시,본청,알제리,,2018,관광교류,부산시  주한외국공관장 초청 부산 팸투어 실시
부산광역시,본청,르완다,,2018,관광교류,부산시  주한외국공관장 초청 부산 팸투어 실시
부산광역시,본청,잠비아,,2018,관광교류,부산시  주한외국공관장 초청 부산 팸투어 실시
부산광역시,본청,케냐,,2018,관광교류,부산시  주한외국공관장 초청 부산 팸투어 실시
부산광역시,본청,모로코,,2017,관광교류,부산시  주한외국대사 초청 부산 팸투어 실시
부산광역시,본청,에티오피아,,2017,관광교류,부산시  주한외국대사 초청 부산 팸투어 실시
부산광역시,본청,코트디부아르,,2017,관광교류,부산시  주한외국대사 초청 부산 팸투어 실시
부산광역시,본청,케냐,,2017,관광교류,부산시  주한외국대사 초청 부산 팸투어 실시
부산광역시,본청,튀니지,,2017,관광교류,부산시  주한외국대사 초청 부산 팸투어 실시
부산광역시,본청,남아프리카공화국,웨스턴케이프주,2011,상징사업,부산_웨스턴케이프주 6.25 참전용사 초청 사업
부산광역시,본청,모로코,카사블랑카시,2011,협약체결,부산시  모로코 카사블랑카시와 자매도시 협정 체결
부산광역시,본청,모로코,카사블랑카시,2011,행정 인적교류,자매도시 공무원 K2H 초청프로그램추진
부산광역시,본청,남아프리카공화국,웨스턴케이프주,2009,행정 인적교류,부산_웨스턴케이프주 IT 관계자 초청연수 실시
부산광역시,본청,남아프리카공화국,웨스턴케이프주,2007,행정 인적교류,부산_웨스턴케이프주 자매도시 교류활성화 부산대표단 방문
부산광역시,본청,남아프리카공화국,웨스턴케이프주,2004,기술 학술 정보교류,부산_웨스턴케이프주 자매도시포럼 참가
부산광역시,본청,남아프리카공화국,웨스턴케이프주,2000,협약체결,부산_웨스턴케이프주 자매결연 협정 체결
대구광역시,본청,에티오피아,,2022,행정 인적교류,북미에서 아프리카까지  케이메디허브 방문
대구광역시,본청,중앙아프리카공화국,,2022,행정 인적교류,중앙아프리카공화국 대통령 방문
대구광역시,수성구,말라위,,2021,행정 인적교류,청소년 국제교류 프로그램
대구광역시,수성구,케냐,,2021,행정 인적교류,청소년 국제교류 프로그램
대구광역시,본청,탄자니아,,2021,기술 학술 정보교류,탄자니아 디지털 재난안전플랫폼 구축 마스터플랜 수립
대구광역시,달성군,우간다,,2020,기타,대구 달성군청  아프리카에 홍보물품 기부
대구광역시,달성군,부룬디,,2020,기타,대구 달성군청  아프리카에 홍보물품 기부
대구광역시,본청,알제리,,2019,경제통상교류,2019 대구시 중동아프리카 무역사절단 파견
대구광역시,본청,탄자니아,일레말라시,2018,행정 인적교류,대구시  도시재난시스템 등 정보화 분야 초청연수 실시
대구광역시,본청,에티오피아,,2015,행정 인적교류,에티오피아 대통령  권영진 대구시장과 경제 교류 활성화 방안 등 협력방안 논의
대구광역시,본청,케냐,,2015,문화 예술교류,대구시  한국_케냐 수교 50주년 기념하여 대구문화예술회관에서 케냐 사진전 개최
인천광역시,본청,세네갈,,2019,문화 예술교류,인천시  주한세네갈대사관과 세네갈 문화 전시회 개최
인천광역시,본청,남아프리카공화국,케이프타운,2019,기술 학술 정보교류,인천시 주최 스마트시티 국제심포지엄에 남아공 케이프타운 프로그램 매니저 발표
인천광역시,본청,가나,,2017,행정 인적교류,인천시  재난경감계획 수립을 위한 국제워크숍 진행
인천광역시,본청,모잠비크,,2017,행정 인적교류,인천시  재난경감계획 수립을 위한 국제워크숍 진행
