연도,사업분야,금액원,금액달러
2014,기타,68178545173,64743021
2014,긴급구호,13878993761,13179630
2014,농림수산,85283556306,80986109
2014,보건의료,97081524730,92189577
2015,공공행정,105190000000,92980840
2015,교육,133134000000,117681656
2015,기술환경에너지,114268000000,101005052
2015,기타,69978232788,61855985
2015,긴급구호,15865602719,14024111
2015,농림수산,93774393847,82890168
2015,보건의료,105000000000,92812546
2016,공공행정,99636106179,85849454
2016,교육,131963000000,113703820
2016,기술환경에너지,87986097093,75811628
2016,기타,116823000000,100658572
2016,긴급구호,9072849617,7817473
2016,농림수산,96056188771,82765004
2016,보건의료,98948036648,85256745
2017,공공행정,101717000000,89964896
2017,교육,135185000000,119565766
2017,기술환경에너지,87173093616,77100976
2017,기타,106978000000,94617273
2017,긴급구호,4751499731,4202505
2017,농림수산,91106427433,80579884
2017,보건의료,108737000000,96173616
2018,공공행정,123721000000,112454878
2018,교육,169234000000,153823195
2018,기술환경에너지,74283894276,67519431
2018,기타,115644000000,105113245
2018,긴급구호,7726664361,7023058
2018,농림수산,80671060140,73324936
2018,보건의료,112464000000,102222933
2019,공공행정,127432000000,109355657
2019,교육,186331000000,159900407
2019,기술환경에너지,81962610252,70336371
2019,기타,153188000000,131458716
2019,긴급구호,7944800670,6817852
2019,농림수산,88381932283,75845135
2019,보건의료,110756000000,95045717
2020,공공행정,108294000000,91764823
2020,교육,134675000000,114119141
2020,기술환경에너지,71876330817,60905539
2020,기타,151216000000,128135621
2020,긴급구호,17314405556,14671635
2020,농림수산,65093851648,55158317
2020,보건의료,130176000000,110307074
2021,공공행정,128186000000,112006143
2021,교육,100400000000,87726832
2021,기술환경에너지,107330000000,93782674
2021,기타,152336000000,133107706
2021,긴급구호,13084455790,11432903
2021,농림수산,91071467306,79576185
2021,보건의료,135360000000,118274821
2022,공공행정,142165000000,110085175
2022,교육,110529000000,85588256
2022,기술환경에너지,127419000000,98666784
2022,기타,174370000000,135022932
2022,긴급구호,14275018975,11053838
2022,농림수산,96997917164,75110138
2022,보건의료,139215000000,107800698
2023,공공행정,193413000000,148094883
2023,교육,148139000000,113428491
2023,기술환경에너지,137385000000,105194357
2023,기타,193244000000,147965126
2023,긴급구호,17849577272,13667256
2023,농림수산,110607000000,84690583
2023,보건의료,155253000000,118876070
