연도,지역,금액원,금액달러
2011,중동,12144812745,10967952
2012,국제기구,16105084444,14304187
2012,기타,51887211316,46085098
2012,동구 및 CIS,22557674392,20035238
2012,아시아,232440796684,206448882
2012,아프리카,102345077855,90900682
2012,오세아니아,2892003927,2568615
2012,중남미,55071938628,48913703
2012,중동,18038023091,16020982
2013,국제기구,22643730805,20686045
2013,기타,57814016153,52815649
2013,동구 및 CIS,22493004119,20548349
2013,아시아,227029508959,207401451
2013,아프리카,104845127578,95780639
2013,오세아니아,3528398648,3223347
2013,중남미,60581685687,55344037
2013,중동,23847351040,21785605
2014,국제기구,37827490474,35921359
2014,기타,67507054339,64105367
2014,동구 및 CIS,33839249267,32134086
2014,아시아,230763908860,219135693
2014,아프리카,125779662422,119441613
2014,오세아니아,5330292940,5061699
2014,중남미,63387656313,60193546
2014,중동,16115038928,15303001
2015,국제기구,50769926597,44877153
2015,기타,73162712795,64670848
2015,동구 및 CIS,29501981322,26077739
2015,아시아,245323211427,216848988
2015,아프리카,138339083275,122282315
2015,오세아니아,7439429831,6575949
2015,중남미,68669842543,60699457
2015,중동,24004011563,21217909
2016,국제기구,39215657732,33789433
2016,기타,96043356829,82753951
2016,동구 및 CIS,30472656346,26256220
2016,아시아,241841627355,208378284
2016,아프리카,128044597291,110327216
2016,오세아니아,6092813886,5249760
2016,중남미,69594720303,59964995
2016,중동,29180498286,25142837
2017,국제기구,40107914828,35473795
2017,기타,93485042870,82683665
2017,동구 및 CIS,29360275107,25967957
2017,아시아,216377951542,191377366
2017,아프리카,150636180103,133231483
2017,오세아니아,7144446265,6318965
2017,중남미,70813993676,62632046
2017,중동,27722764344,24519639
2018,국제기구,34342658232,31215325
2018,기타,105181632465,95603515
2018,동구 및 CIS,24451254700,22224664
2018,아시아,235469704695,214027211
2018,아프리카,163027231620,148181541
2018,오세아니아,7159634560,6507658
2018,중남미,89561365213,81405670
2018,중동,24551841574,22316092
2019,국제기구,40529939500,34780879
2019,기타,108175971125,92831507
2019,동구 및 CIS,37218171353,31938855
2019,아시아,252880430955,217010037
2019,아프리카,194614675754,167009119
2019,오세아니아,7180494477,6161953
2019,중남미,92904242440,79726001
2019,중동,22491928400,19301504
2020,국제기구,54237578055,45959081
2020,기타,113159185061,95887249
2020,동구 및 CIS,29778644314,25233405
2020,아시아,239086320055,202593625
